Model,N_Train_Paths,Run,Init,Test_Error
Naive FFNN,35,0,2,8.834717750549316
PANN,35,0,2,0.12110070139169693
Naive FFNN,40,0,2,7.678298473358154
PANN,40,0,2,0.032554253935813904
Naive FFNN,45,0,2,5.05840539932251
PANN,45,0,2,0.06465400755405426
Naive FFNN,50,0,2,4.942521095275879
PANN,50,0,2,0.05382165685296059
Naive FFNN,55,0,2,3.2436654567718506
PANN,55,0,2,0.047875888645648956
Naive FFNN,60,0,2,4.294044017791748
PANN,60,0,2,0.028690140694379807
Naive FFNN,65,0,2,4.618646144866943
PANN,65,0,2,0.027992453426122665
Naive FFNN,70,0,2,3.8499810695648193
PANN,70,0,2,0.036086369305849075
Naive FFNN,75,0,2,3.074320077896118
PANN,75,0,2,0.03618953749537468
Naive FFNN,80,0,2,3.834367036819458
PANN,80,0,2,0.03204245865345001
Naive FFNN,85,0,2,3.364784002304077
PANN,85,0,2,0.03877132758498192
Naive FFNN,90,0,2,3.796807050704956
PANN,90,0,2,0.033923666924238205
Naive FFNN,95,0,2,3.459030866622925
PANN,95,0,2,0.0390513651072979
Naive FFNN,1,0,3,14.32834243774414
PANN,1,0,3,0.04090168699622154
Naive FFNN,5,0,3,12.895227432250977
PANN,5,0,3,0.3215719759464264
Naive FFNN,10,0,3,12.595053672790527
PANN,10,0,3,0.22753262519836426
Naive FFNN,15,0,3,11.15699577331543
PANN,15,0,3,0.055260248482227325
Naive FFNN,20,0,3,8.306742668151855
PANN,20,0,3,0.023995358496904373
Naive FFNN,25,0,3,10.107817649841309
PANN,25,0,3,0.1787990927696228
Naive FFNN,30,0,3,9.098444938659668
PANN,30,0,3,0.29498377442359924
Naive FFNN,35,0,3,8.02380084991455
PANN,35,0,3,0.12667150795459747
Naive FFNN,40,0,3,7.2708420753479
PANN,40,0,3,0.03135630488395691
Naive FFNN,45,0,3,5.386033058166504
PANN,45,0,3,0.025445152074098587
Naive FFNN,50,0,3,5.0434160232543945
PANN,50,0,3,0.026691261678934097
Naive FFNN,55,0,3,4.108506202697754
PANN,55,0,3,0.05510982125997543
Naive FFNN,60,0,3,4.379913806915283
PANN,60,0,3,0.05055245757102966
Naive FFNN,65,0,3,4.095082759857178
PANN,65,0,3,0.03776935487985611
Naive FFNN,70,0,3,3.760908603668213
PANN,70,0,3,0.027082977816462517
Naive FFNN,75,0,3,3.379209518432617
PANN,75,0,3,0.05334940180182457
Naive FFNN,80,0,3,3.9586238861083984
PANN,80,0,3,0.035316433757543564
Naive FFNN,85,0,3,3.852728843688965
PANN,85,0,3,0.03353836387395859
Naive FFNN,90,0,3,2.994455099105835
PANN,90,0,3,0.026582617312669754
Naive FFNN,95,0,3,3.8321239948272705
PANN,95,0,3,0.02291819453239441
Naive FFNN,1,0,4,13.744646072387695
PANN,1,0,4,0.020875679329037666
Naive FFNN,5,0,4,13.449711799621582
PANN,5,0,4,0.21583008766174316
Naive FFNN,10,0,4,13.263686180114746
PANN,10,0,4,0.174289733171463
Naive FFNN,15,0,4,11.718768119812012
PANN,15,0,4,0.026846593245863914
Naive FFNN,20,0,4,11.331721305847168
PANN,20,0,4,0.02208142913877964
Naive FFNN,25,0,4,9.820643424987793
PANN,25,0,4,0.2867180109024048
Naive FFNN,30,0,4,7.008548736572266
PANN,30,0,4,0.4230605661869049
Naive FFNN,35,0,4,7.327721118927002
PANN,35,0,4,0.09749733656644821
Naive FFNN,40,0,4,6.486188888549805
PANN,40,0,4,0.031264904886484146
Naive FFNN,45,0,4,5.6065497398376465
PANN,45,0,4,0.025716455653309822
Naive FFNN,50,0,4,5.528412818908691
PANN,50,0,4,0.03488188236951828
Naive FFNN,55,0,4,3.811500310897827
PANN,55,0,4,0.03575049340724945
Naive FFNN,60,0,4,5.923393249511719
PANN,60,0,4,0.03576614335179329
Naive FFNN,65,0,4,4.702350616455078
PANN,65,0,4,0.043319642543792725
Naive FFNN,70,0,4,4.688881874084473
PANN,70,0,4,0.09632968157529831
Naive FFNN,75,0,4,2.8751962184906006
PANN,75,0,4,0.025526924058794975
Naive FFNN,80,0,4,3.0263261795043945
PANN,80,0,4,0.04472329840064049
Naive FFNN,85,0,4,2.5658504962921143
PANN,85,0,4,0.04466894641518593
Naive FFNN,90,0,4,2.399205207824707
PANN,90,0,4,0.07844675332307816
Naive FFNN,95,0,4,3.162473440170288
PANN,95,0,4,0.01860237680375576
Naive FFNN,1,1,0,12.649660110473633
PANN,1,1,0,0.394258588552475
Naive FFNN,5,1,0,10.916844367980957
PANN,5,1,0,0.03902352601289749
Naive FFNN,10,1,0,14.664799690246582
PANN,10,1,0,0.4242282211780548
Naive FFNN,15,1,0,12.127443313598633
PANN,15,1,0,0.027955658733844757
Naive FFNN,20,1,0,10.946415901184082
PANN,20,1,0,0.19849196076393127
Naive FFNN,25,1,0,10.411332130432129
PANN,25,1,0,0.039801158010959625
Naive FFNN,30,1,0,7.838509559631348
PANN,30,1,0,0.047118112444877625
Naive FFNN,35,1,0,6.814154624938965
PANN,35,1,0,0.03824650123715401
Naive FFNN,40,1,0,5.8063764572143555
PANN,40,1,0,0.02261453866958618
Naive FFNN,45,1,0,5.292677402496338
PANN,45,1,0,0.03346240147948265
Naive FFNN,50,1,0,4.555549621582031
PANN,50,1,0,0.03344110772013664
Naive FFNN,55,1,0,4.723879814147949
PANN,55,1,0,0.03105567768216133
Naive FFNN,60,1,0,4.406034469604492
PANN,60,1,0,0.023804746568202972
Naive FFNN,65,1,0,4.1826581954956055
PANN,65,1,0,0.019701452925801277
Naive FFNN,70,1,0,5.095709323883057
PANN,70,1,0,0.06867289543151855
Naive FFNN,75,1,0,3.277327537536621
PANN,75,1,0,0.027906551957130432
Naive FFNN,80,1,0,4.072157382965088
PANN,80,1,0,0.03251022845506668
Naive FFNN,85,1,0,3.1785759925842285
PANN,85,1,0,0.02293955534696579
Naive FFNN,90,1,0,2.8111119270324707
PANN,90,1,0,0.024573950096964836
Naive FFNN,95,1,0,3.484640598297119
PANN,95,1,0,0.025345806032419205
Naive FFNN,1,1,1,14.171273231506348
PANN,1,1,1,0.3709110617637634
Naive FFNN,5,1,1,10.418010711669922
PANN,5,1,1,0.027142120525240898
Naive FFNN,10,1,1,13.159294128417969
PANN,10,1,1,0.4599798917770386
Naive FFNN,15,1,1,10.754053115844727
PANN,15,1,1,0.04749045893549919
Naive FFNN,20,1,1,9.755556106567383
PANN,20,1,1,0.22475089132785797
Naive FFNN,25,1,1,8.854703903198242
PANN,25,1,1,0.03093443252146244
Naive FFNN,30,1,1,9.783106803894043
PANN,30,1,1,0.04606223478913307
Naive FFNN,35,1,1,7.158352375030518
PANN,35,1,1,0.04195473715662956
Naive FFNN,40,1,1,6.081531524658203
PANN,40,1,1,0.055057093501091
Naive FFNN,45,1,1,7.822554588317871
PANN,45,1,1,0.08297128230333328
Naive FFNN,50,1,1,4.950898170471191
PANN,50,1,1,0.0442105196416378
Naive FFNN,55,1,1,5.1284074783325195
PANN,55,1,1,0.018191104754805565
Naive FFNN,60,1,1,6.085402488708496
PANN,60,1,1,0.03409305214881897
Naive FFNN,65,1,1,3.8080759048461914
PANN,65,1,1,0.02859993278980255
Naive FFNN,70,1,1,3.612450361251831
PANN,70,1,1,0.059014927595853806
Naive FFNN,75,1,1,3.0697383880615234
PANN,75,1,1,0.021895702928304672
Naive FFNN,80,1,1,5.693704605102539
PANN,80,1,1,0.027940887957811356
Naive FFNN,85,1,1,3.4113759994506836
PANN,85,1,1,0.021066969260573387
Naive FFNN,90,1,1,2.8361306190490723
PANN,90,1,1,0.028385819867253304
Naive FFNN,95,1,1,2.6890525817871094
PANN,95,1,1,0.04574592038989067
Naive FFNN,1,1,2,14.069962501525879
PANN,1,1,2,0.18790502846240997
Naive FFNN,5,1,2,10.644411087036133
PANN,5,1,2,0.05000114068388939
Naive FFNN,10,1,2,13.968223571777344
PANN,10,1,2,0.5467974543571472
Naive FFNN,15,1,2,10.553747177124023
